M2US000$ Index,,,M2US000V Index,,,M2USQU Index,,,M2USSC Index,,,M2US000G Index,,,M2USMVOL Index,,,M2USAHDV Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
11/27/2009,664.56,,11/27/2009,5279.92,,11/27/2009,752.31,,11/27/2009,161.53,,11/27/2009,3393.62,,11/27/2009,1278.95,,11/27/2009,1265.82
12/4/2009,671.46,,12/4/2009,5361.07,,12/4/2009,760.3,,12/4/2009,167.75,,12/4/2009,3431.47,,12/4/2009,1297.05,,12/4/2009,1287.32
12/11/2009,672.44,,12/11/2009,5368.11,,12/11/2009,761.76,,12/11/2009,167.91,,12/11/2009,3433.57,,12/11/2009,1305.76,,12/11/2009,1292.61
12/18/2009,673.38,,12/18/2009,5325.89,,12/18/2009,758.8,,12/18/2009,170.75,,12/18/2009,3446.23,,12/18/2009,1295.05,,12/18/2009,1278.15
12/25/2009,693.06,,12/25/2009,5415.34,,12/25/2009,773.72,,12/25/2009,177.13,,12/25/2009,3541.25,,12/25/2009,1318.48,,12/25/2009,1296.6
1/1/2010,685.78,,1/1/2010,5363,,1/1/2010,767.84,,1/1/2010,174.42,,1/1/2010,3506,,1/1/2010,1309.09,,1/1/2010,1285.21
1/8/2010,699.89,,1/8/2010,5522.61,,1/8/2010,780.5,,1/8/2010,180.72,,1/8/2010,3596.32,,1/8/2010,1317.37,,1/8/2010,1304.18
1/15/2010,690.14,,1/15/2010,5488.49,,1/15/2010,780.15,,1/15/2010,178.31,,1/15/2010,3562.49,,1/15/2010,1319.58,,1/15/2010,1307.58
1/22/2010,657.78,,1/22/2010,5299.17,,1/22/2010,749.94,,1/22/2010,172.54,,1/22/2010,3418.03,,1/22/2010,1286.26,,1/22/2010,1270.14
1/29/2010,641.74,,1/29/2010,5247.65,,1/29/2010,734.42,,1/29/2010,168.64,,1/29/2010,3335.45,,1/29/2010,1275.36,,1/29/2010,1256.18
2/5/2010,639.45,,2/5/2010,5192.08,,2/5/2010,730.44,,2/5/2010,166.6,,2/5/2010,3324.48,,2/5/2010,1262.99,,2/5/2010,1245.02
2/12/2010,652.26,,2/12/2010,5217.71,,2/12/2010,738.48,,2/12/2010,171.63,,2/12/2010,3377.62,,2/12/2010,1270.5,,2/12/2010,1257.05
2/19/2010,674.75,,2/19/2010,5389.38,,2/19/2010,758.87,,2/19/2010,177.73,,2/19/2010,3481.32,,2/19/2010,1308.58,,2/19/2010,1292.82
2/26/2010,672.62,,2/26/2010,5373.39,,2/26/2010,751.44,,2/26/2010,176.82,,2/26/2010,3462.15,,2/26/2010,1302.41,,2/26/2010,1277.46
3/5/2010,702.31,,3/5/2010,5533.04,,3/5/2010,772.69,,3/5/2010,186.29,,3/5/2010,3574.3,,3/5/2010,1328.09,,3/5/2010,1307.22
3/12/2010,711.04,,3/12/2010,5586.67,,3/12/2010,776.91,,3/12/2010,189.55,,3/12/2010,3618.76,,3/12/2010,1336.05,,3/12/2010,1316.93
3/19/2010,712.56,,3/19/2010,5650.09,,3/19/2010,784.28,,3/19/2010,189.43,,3/19/2010,3633.1,,3/19/2010,1350.49,,3/19/2010,1340.11
3/26/2010,719.35,,3/26/2010,5682.24,,3/26/2010,785.93,,3/26/2010,190.65,,3/26/2010,3654.09,,3/26/2010,1347.08,,3/26/2010,1340.76
4/2/2010,727.26,,4/2/2010,5751.62,,4/2/2010,793.65,,4/2/2010,192.75,,4/2/2010,3688.14,,4/2/2010,1357.69,,4/2/2010,1353.71
4/9/2010,739.56,,4/9/2010,5830.79,,4/9/2010,801.78,,4/9/2010,198,,4/9/2010,3744.78,,4/9/2010,1368.17,,4/9/2010,1362.14
4/16/2010,737.86,,4/16/2010,5799.03,,4/16/2010,801.29,,4/16/2010,200.26,,4/16/2010,3753.8,,4/16/2010,1369.24,,4/16/2010,1363.69
4/23/2010,755.55,,4/23/2010,5921.84,,4/23/2010,812.2,,4/23/2010,207.91,,4/23/2010,3833.77,,4/23/2010,1380.13,,4/23/2010,1380.44
4/30/2010,726.25,,4/30/2010,5786.69,,4/30/2010,796.29,,4/30/2010,201.25,,4/30/2010,3728.11,,4/30/2010,1362.19,,4/30/2010,1363.53
5/7/2010,674.62,,5/7/2010,5441.33,,5/7/2010,750.51,,5/7/2010,183.71,,5/7/2010,3468.84,,5/7/2010,1299.04,,5/7/2010,1299.94
5/14/2010,696.19,,5/14/2010,5554.03,,5/14/2010,764.95,,5/14/2010,193.64,,5/14/2010,3556.21,,5/14/2010,1324.25,,5/14/2010,1325.53
5/21/2010,666.71,,5/21/2010,5324.02,,5/21/2010,732.28,,5/21/2010,182.1,,5/21/2010,3404.34,,5/21/2010,1281.56,,5/21/2010,1273.37
5/28/2010,676.78,,5/28/2010,5333.63,,5/28/2010,730.93,,5/28/2010,185.74,,5/28/2010,3418.73,,5/28/2010,1282.58,,5/28/2010,1271.09
6/4/2010,660.95,,6/4/2010,5196.49,,6/4/2010,720.65,,6/4/2010,178.51,,6/4/2010,3355.52,,6/4/2010,1268.16,,6/4/2010,1247.04
6/11/2010,681.53,,6/11/2010,5349.07,,6/11/2010,735.08,,6/11/2010,183.13,,6/11/2010,3428.77,,6/11/2010,1300.95,,6/11/2010,1287.57
6/18/2010,702.87,,6/18/2010,5471.74,,6/18/2010,751.98,,6/18/2010,187.67,,6/18/2010,3514.19,,6/18/2010,1331.81,,6/18/2010,1317.02
6/25/2010,675.87,,6/25/2010,5276.05,,6/25/2010,725.74,,6/25/2010,181.44,,6/25/2010,3380.88,,6/25/2010,1294.78,,6/25/2010,1270.25
7/2/2010,633.16,,7/2/2010,5016.68,,7/2/2010,699.86,,7/2/2010,169.29,,7/2/2010,3210.03,,7/2/2010,1257.38,,7/2/2010,1231.58
7/9/2010,670.99,,7/9/2010,5302.58,,7/9/2010,732.55,,7/9/2010,178.4,,7/9/2010,3377.48,,7/9/2010,1306.05,,7/9/2010,1289.29
7/16/2010,659.2,,7/16/2010,5217.83,,7/16/2010,726.77,,7/16/2010,174.32,,7/16/2010,3351.38,,7/16/2010,1293.48,,7/16/2010,1278.99
7/23/2010,692.9,,7/23/2010,5387.28,,7/23/2010,749.53,,7/23/2010,184.56,,7/23/2010,3480.9,,7/23/2010,1324.61,,7/23/2010,1315
7/30/2010,689.03,,7/30/2010,5410.66,,7/30/2010,745.33,,7/30/2010,184.3,,7/30/2010,3458.15,,7/30/2010,1322.3,,7/30/2010,1318.29
8/6/2010,705.73,,8/6/2010,5509.88,,8/6/2010,759.97,,8/6/2010,185.74,,8/6/2010,3527.8,,8/6/2010,1343.62,,8/6/2010,1347.18
8/13/2010,677.96,,8/13/2010,5326.24,,8/13/2010,738.42,,8/13/2010,175.51,,8/13/2010,3383.06,,8/13/2010,1317.61,,8/13/2010,1319.86
8/20/2010,678.13,,8/20/2010,5260.79,,8/20/2010,735.3,,8/20/2010,175.83,,8/20/2010,3385.27,,8/20/2010,1319.32,,8/20/2010,1310.67
8/27/2010,670,,8/27/2010,5252.79,,8/27/2010,729.47,,8/27/2010,176.5,,8/27/2010,3346.84,,8/27/2010,1319.92,,8/27/2010,1314.72
9/3/2010,701.52,,9/3/2010,5451.92,,9/3/2010,752.51,,9/3/2010,184.38,,9/3/2010,3474.37,,9/3/2010,1348.99,,9/3/2010,1349.48
9/10/2010,702.56,,9/10/2010,5483.73,,9/10/2010,759.14,,9/10/2010,183.24,,9/10/2010,3487.12,,9/10/2010,1354.62,,9/10/2010,1357.17
9/17/2010,714.91,,9/17/2010,5530.22,,9/17/2010,776.46,,9/17/2010,187.23,,9/17/2010,3567.11,,9/17/2010,1374.82,,9/17/2010,1367.76
9/24/2010,732.18,,9/24/2010,5612.54,,9/24/2010,795.91,,9/24/2010,191.74,,9/24/2010,3663.84,,9/24/2010,1402.02,,9/24/2010,1394.51
10/1/2010,729.9,,10/1/2010,5611.15,,10/1/2010,794.77,,10/1/2010,193.84,,10/1/2010,3657,,10/1/2010,1403,,10/1/2010,1394.55
10/8/2010,744.52,,10/8/2010,5706.35,,10/8/2010,807.45,,10/8/2010,197.3,,10/8/2010,3717.16,,10/8/2010,1417.5,,10/8/2010,1415.06
10/15/2010,755.84,,10/15/2010,5694.12,,10/15/2010,823.67,,10/15/2010,199.78,,10/15/2010,3800.21,,10/15/2010,1434.15,,10/15/2010,1426.3
10/22/2010,760.7,,10/22/2010,5732.04,,10/22/2010,826.75,,10/22/2010,200.34,,10/22/2010,3818.05,,10/22/2010,1441.94,,10/22/2010,1434.74
10/29/2010,763.37,,10/29/2010,5719.48,,10/29/2010,828.4,,10/29/2010,200.51,,10/29/2010,3840.96,,10/29/2010,1442.71,,10/29/2010,1428.54
11/5/2010,790.71,,11/5/2010,5934.37,,11/5/2010,851.04,,11/5/2010,209.31,,11/5/2010,3972.13,,11/5/2010,1473.55,,11/5/2010,1460.36
11/12/2010,774.76,,11/12/2010,5820.2,,11/12/2010,836.05,,11/12/2010,204.95,,11/12/2010,3887.57,,11/12/2010,1448.42,,11/12/2010,1440.63
11/19/2010,781.54,,11/19/2010,5805.2,,11/19/2010,840.16,,11/19/2010,206.23,,11/19/2010,3909.69,,11/19/2010,1447.76,,11/19/2010,1441.41
11/26/2010,785.1,,11/26/2010,5720.17,,11/26/2010,835.64,,11/26/2010,208.38,,11/26/2010,3905.32,,11/26/2010,1440.61,,11/26/2010,1426.95
12/3/2010,801.48,,12/3/2010,5902.69,,12/3/2010,852.8,,12/3/2010,215.57,,12/3/2010,4014.72,,12/3/2010,1466.52,,12/3/2010,1456.91
12/10/2010,806.76,,12/10/2010,6009.67,,12/10/2010,859.9,,12/10/2010,220.2,,12/10/2010,4043.82,,12/10/2010,1475.6,,12/10/2010,1467.74
12/17/2010,810.53,,12/17/2010,6027.47,,12/17/2010,866.51,,12/17/2010,220.99,,12/17/2010,4061.71,,12/17/2010,1496.58,,12/17/2010,1483.13
12/24/2010,813.64,,12/24/2010,6119.34,,12/24/2010,867.6,,12/24/2010,223.85,,12/24/2010,4086.06,,12/24/2010,1501.7,,12/24/2010,1490.42
12/31/2010,810.66,,12/31/2010,6133.65,,12/31/2010,864.96,,12/31/2010,223.19,,12/31/2010,4085.5,,12/31/2010,1501.56,,12/31/2010,1489.29
1/7/2011,815.4,,1/7/2011,6214.03,,1/7/2011,870.91,,1/7/2011,224.92,,1/7/2011,4125.4,,1/7/2011,1494.03,,1/7/2011,1495.77
1/14/2011,826.04,,1/14/2011,6316.41,,1/14/2011,878.91,,1/14/2011,230.05,,1/14/2011,4202.11,,1/14/2011,1500.39,,1/14/2011,1506.38
1/21/2011,812.05,,1/21/2011,6304.04,,1/21/2011,875.69,,1/21/2011,222.79,,1/21/2011,4143.99,,1/21/2011,1504.75,,1/21/2011,1510.48
1/28/2011,810.31,,1/28/2011,6264.77,,1/28/2011,871.61,,1/28/2011,224.04,,1/28/2011,4130.75,,1/28/2011,1494.83,,1/28/2011,1498.62
2/4/2011,832.78,,2/4/2011,6424.62,,2/4/2011,891.13,,2/4/2011,231.53,,2/4/2011,4248.94,,2/4/2011,1521.05,,2/4/2011,1534.53
2/11/2011,854.58,,2/11/2011,6519.8,,2/11/2011,902.38,,2/11/2011,237.45,,2/11/2011,4311.78,,2/11/2011,1536.25,,2/11/2011,1549.57
2/18/2011,858.51,,2/18/2011,6610.47,,2/18/2011,911.07,,2/18/2011,240.86,,2/18/2011,4346.74,,2/18/2011,1554.09,,2/18/2011,1571.36
2/25/2011,844.9,,2/25/2011,6516.36,,2/25/2011,896.78,,2/25/2011,236.77,,2/25/2011,4262,,2/25/2011,1536.65,,2/25/2011,1559.77
3/4/2011,850.15,,3/4/2011,6521.83,,3/4/2011,902.34,,3/4/2011,237.88,,3/4/2011,4266.81,,3/4/2011,1546.93,,3/4/2011,1571.64
3/11/2011,838.7,,3/11/2011,6461.14,,3/11/2011,890.44,,3/11/2011,232.58,,3/11/2011,4196.98,,3/11/2011,1540.55,,3/11/2011,1557.32
3/18/2011,821.79,,3/18/2011,6359.36,,3/18/2011,865.16,,3/18/2011,229.61,,3/18/2011,4106.12,,3/18/2011,1514.93,,3/18/2011,1533.03
3/25/2011,854.43,,3/25/2011,6497.44,,3/25/2011,893.75,,3/25/2011,237.52,,3/25/2011,4243.04,,3/25/2011,1552.28,,3/25/2011,1572.6
4/1/2011,870.46,,4/1/2011,6594.66,,4/1/2011,904.65,,4/1/2011,243.94,,4/1/2011,4310.99,,4/1/2011,1579.35,,4/1/2011,1597.21
4/8/2011,862.49,,4/8/2011,6596.93,,4/8/2011,905.22,,4/8/2011,242.36,,4/8/2011,4286.85,,4/8/2011,1579.65,,4/8/2011,1603.84
4/15/2011,866.58,,4/15/2011,6543.52,,4/15/2011,904.19,,4/15/2011,240.86,,4/15/2011,4272.07,,4/15/2011,1587.73,,4/15/2011,1606.32
4/22/2011,883.27,,4/22/2011,6595.45,,4/22/2011,923.33,,4/22/2011,244.5,,4/22/2011,4354.97,,4/22/2011,1601.25,,4/22/2011,1623.9
4/29/2011,899.32,,4/29/2011,6756.25,,4/29/2011,941.93,,4/29/2011,249.7,,4/29/2011,4422.55,,4/29/2011,1633.25,,4/29/2011,1663.08
5/6/2011,884.66,,5/6/2011,6632.56,,5/6/2011,931.93,,5/6/2011,242.23,,5/6/2011,4354.39,,5/6/2011,1621.48,,5/6/2011,1638.31
5/13/2011,888.97,,5/13/2011,6613.69,,5/13/2011,937.54,,5/13/2011,242.79,,5/13/2011,4358.81,,5/13/2011,1640.64,,5/13/2011,1649.56
5/20/2011,888.4,,5/20/2011,6599.45,,5/20/2011,934.3,,5/20/2011,241.28,,5/20/2011,4344.62,,5/20/2011,1645.09,,5/20/2011,1653.25
5/27/2011,886.47,,5/27/2011,6587.21,,5/27/2011,930.08,,5/27/2011,243.27,,5/27/2011,4346.53,,5/27/2011,1636.41,,5/27/2011,1644.84
6/3/2011,867.65,,6/3/2011,6431.2,,6/3/2011,912.13,,6/3/2011,235.69,,6/3/2011,4250.55,,6/3/2011,1606.28,,6/3/2011,1612.06
6/10/2011,847.9,,6/10/2011,6308.82,,6/10/2011,895.87,,6/10/2011,227.82,,6/10/2011,4140.21,,6/10/2011,1583.98,,6/10/2011,1588.68
6/17/2011,843.87,,6/17/2011,6335.89,,6/17/2011,896.4,,6/17/2011,228.12,,6/17/2011,4120.02,,6/17/2011,1592.96,,6/17/2011,1600.59
6/24/2011,848.28,,6/24/2011,6287.85,,6/24/2011,897.84,,6/24/2011,231.78,,6/24/2011,4143.03,,6/24/2011,1588.82,,6/24/2011,1587.08
7/1/2011,900.93,,7/1/2011,6615.05,,7/1/2011,948.95,,7/1/2011,244.74,,7/1/2011,4395.68,,7/1/2011,1651.87,,7/1/2011,1659.26
7/8/2011,911.92,,7/8/2011,6595.92,,7/8/2011,959.58,,7/8/2011,247.72,,7/8/2011,4443.6,,7/8/2011,1657.61,,7/8/2011,1665.38
7/15/2011,891.11,,7/15/2011,6450.41,,7/15/2011,946.19,,7/15/2011,240.44,,7/15/2011,4360.5,,7/15/2011,1631.76,,7/15/2011,1642.82
7/22/2011,909.38,,7/22/2011,6570.36,,7/22/2011,966.66,,7/22/2011,244.6,,7/22/2011,4471.85,,7/22/2011,1638.69,,7/22/2011,1666.14
7/29/2011,872.31,,7/29/2011,6299.17,,7/29/2011,932.59,,7/29/2011,231.73,,7/29/2011,4309.54,,7/29/2011,1578.06,,7/29/2011,1603.11
8/5/2011,807.58,,8/5/2011,5853.16,,8/5/2011,880.67,,8/5/2011,206.92,,8/5/2011,3984.88,,8/5/2011,1509.74,,8/5/2011,1524.57
8/12/2011,799.33,,8/12/2011,5713.32,,8/12/2011,871.08,,8/12/2011,204.01,,8/12/2011,3958.23,,8/12/2011,1501.62,,8/12/2011,1506.53
8/19/2011,752.64,,8/19/2011,5520.7,,8/19/2011,825.59,,8/19/2011,190.08,,8/19/2011,3720.99,,8/19/2011,1472.8,,8/19/2011,1478.85
8/26/2011,792.38,,8/26/2011,5740.77,,8/26/2011,868.72,,8/26/2011,201.78,,8/26/2011,3927.65,,8/26/2011,1527.47,,8/26/2011,1530.64
9/2/2011,800.3,,9/2/2011,5721.94,,9/2/2011,866.96,,9/2/2011,200.78,,9/2/2011,3928.2,,9/2/2011,1533.29,,9/2/2011,1531.23
9/9/2011,789.17,,9/9/2011,5615.78,,9/9/2011,855.25,,9/9/2011,198.27,,9/9/2011,3875.89,,9/9/2011,1514.72,,9/9/2011,1506.79
9/16/2011,832.19,,9/16/2011,5901.42,,9/16/2011,901.33,,9/16/2011,209.58,,9/16/2011,4094.97,,9/16/2011,1580.97,,9/16/2011,1573.31
9/23/2011,791.49,,9/23/2011,5493.36,,9/23/2011,857.54,,9/23/2011,191.43,,9/23/2011,3839.43,,9/23/2011,1517.99,,9/23/2011,1492.78
9/30/2011,781.65,,9/30/2011,5543,,9/30/2011,853.12,,9/30/2011,188.77,,9/30/2011,3765.25,,9/30/2011,1531.58,,9/30/2011,1509.65
10/7/2011,799.04,,10/7/2011,5626.37,,10/7/2011,872.58,,10/7/2011,192.93,,10/7/2011,3873.44,,10/7/2011,1548.53,,10/7/2011,1538.15
10/14/2011,839.63,,10/14/2011,5923.75,,10/14/2011,922.19,,10/14/2011,208.01,,10/14/2011,4136.38,,10/14/2011,1603.39,,10/14/2011,1599.49
10/21/2011,843.14,,10/21/2011,6046.02,,10/21/2011,919.83,,10/21/2011,209.02,,10/21/2011,4144.44,,10/21/2011,1632.26,,10/21/2011,1630.63
10/28/2011,861.39,,10/28/2011,6273.07,,10/28/2011,946.95,,10/28/2011,222.63,,10/28/2011,4305.57,,10/28/2011,1655.48,,10/28/2011,1654.82
11/4/2011,847.51,,11/4/2011,6079.02,,11/4/2011,931.11,,11/4/2011,219.21,,11/4/2011,4231.89,,11/4/2011,1632.68,,11/4/2011,1624.21
11/11/2011,852.49,,11/11/2011,6152.96,,11/11/2011,940.9,,11/11/2011,218.34,,11/11/2011,4252.79,,11/11/2011,1655.93,,11/11/2011,1651.18
11/18/2011,824.13,,11/18/2011,5920.66,,11/18/2011,912.51,,11/18/2011,210.64,,11/18/2011,4094.13,,11/18/2011,1609.34,,11/18/2011,1606.56
11/25/2011,794.6,,11/25/2011,5630.68,,11/25/2011,875.41,,11/25/2011,197.6,,11/25/2011,3914.3,,11/25/2011,1567.23,,11/25/2011,1544.67
12/2/2011,848.4,,12/2/2011,6058.68,,12/2/2011,932.56,,12/2/2011,215.76,,12/2/2011,4202.48,,12/2/2011,1643.98,,12/2/2011,1639.42
12/9/2011,854.77,,12/9/2011,6132.42,,12/9/2011,942.47,,12/9/2011,217.68,,12/9/2011,4221.66,,12/9/2011,1659.48,,12/9/2011,1659.8
12/16/2011,834.05,,12/16/2011,5997.87,,12/16/2011,915.89,,12/16/2011,210.35,,12/16/2011,4078.75,,12/16/2011,1644.33,,12/16/2011,1642.28
12/23/2011,862.65,,12/23/2011,6266.25,,12/23/2011,940.77,,12/23/2011,218.09,,12/23/2011,4203.08,,12/23/2011,1696.91,,12/23/2011,1705.84
12/30/2011,860,,12/30/2011,6224.83,,12/30/2011,937.59,,12/30/2011,216.43,,12/30/2011,4182.99,,12/30/2011,1694.74,,12/30/2011,1701.9
1/6/2012,863.69,,1/6/2012,6323.52,,1/6/2012,951.68,,1/6/2012,219.5,,1/6/2012,4261.03,,1/6/2012,1693.11,,1/6/2012,1706.38
1/13/2012,862.05,,1/13/2012,6396.98,,1/13/2012,956.87,,1/13/2012,223.63,,1/13/2012,4294.36,,1/13/2012,1705.88,,1/13/2012,1708.79
1/20/2012,872.77,,1/20/2012,6518.02,,1/20/2012,980.56,,1/20/2012,229.52,,1/20/2012,4389.93,,1/20/2012,1728.55,,1/20/2012,1736.93
1/27/2012,875.32,,1/27/2012,6462.68,,1/27/2012,985.23,,1/27/2012,233.54,,1/27/2012,4442.19,,1/27/2012,1720.42,,1/27/2012,1721.92
2/3/2012,892.77,,2/3/2012,6592.83,,2/3/2012,1008.19,,2/3/2012,241.72,,2/3/2012,4557.42,,2/3/2012,1739.84,,2/3/2012,1739.95
2/10/2012,899.32,,2/10/2012,6570.83,,2/10/2012,1007.75,,2/10/2012,238.95,,2/10/2012,4561.45,,2/10/2012,1733.59,,2/10/2012,1736.81
2/17/2012,910.2,,2/17/2012,6681.48,,2/17/2012,1019.74,,2/17/2012,243.57,,2/17/2012,4621.65,,2/17/2012,1750.48,,2/17/2012,1759.17
2/24/2012,917.92,,2/24/2012,6680.15,,2/24/2012,1023.98,,2/24/2012,243.43,,2/24/2012,4657.17,,2/24/2012,1759.56,,2/24/2012,1765.82
3/2/2012,926.56,,3/2/2012,6701.76,,3/2/2012,1030.13,,3/2/2012,239.18,,3/2/2012,4674.24,,3/2/2012,1759.91,,3/2/2012,1769.77
3/9/2012,932.38,,3/9/2012,6699.58,,3/9/2012,1031.05,,3/9/2012,242.13,,3/9/2012,4686.54,,3/9/2012,1772.94,,3/9/2012,1769.95
3/16/2012,946.3,,3/16/2012,6879.16,,3/16/2012,1053.43,,3/16/2012,246.44,,3/16/2012,4787.71,,3/16/2012,1786.37,,3/16/2012,1796.36
3/23/2012,950.45,,3/23/2012,6827.19,,3/23/2012,1051.7,,3/23/2012,245.05,,3/23/2012,4775.69,,3/23/2012,1784.86,,3/23/2012,1785.95
3/30/2012,961.2,,3/30/2012,6880.37,,3/30/2012,1063.79,,3/30/2012,245.76,,3/30/2012,4817.05,,3/30/2012,1802.65,,3/30/2012,1807.82
4/6/2012,968.13,,4/6/2012,6793.52,,4/6/2012,1064.7,,4/6/2012,242.85,,4/6/2012,4813.42,,4/6/2012,1800.51,,4/6/2012,1793.92
4/13/2012,952.7,,4/13/2012,6649.99,,4/13/2012,1046.72,,4/13/2012,237.36,,4/13/2012,4728.05,,4/13/2012,1777.61,,4/13/2012,1761.69
4/20/2012,956.26,,4/20/2012,6730.26,,4/20/2012,1049.5,,4/20/2012,239.86,,4/20/2012,4729.45,,4/20/2012,1804.56,,4/20/2012,1790.7
4/27/2012,981.55,,4/27/2012,6834.97,,4/27/2012,1064.98,,4/27/2012,245.91,,4/27/2012,4828,,4/27/2012,1827.95,,4/27/2012,1812.01
5/4/2012,962.91,,5/4/2012,6694.93,,5/4/2012,1038.73,,5/4/2012,237.34,,5/4/2012,4687.57,,5/4/2012,1807.74,,5/4/2012,1787.13
5/11/2012,953.07,,5/11/2012,6634.43,,5/11/2012,1028.19,,5/11/2012,236.24,,5/11/2012,4633.94,,5/11/2012,1807.41,,5/11/2012,1780.46
5/18/2012,916.94,,5/18/2012,6367.69,,5/18/2012,987.23,,5/18/2012,222.31,,5/18/2012,4418.96,,5/18/2012,1756.09,,5/18/2012,1734.6
5/25/2012,935.54,,5/25/2012,6447.47,,5/25/2012,1003.85,,5/25/2012,228.95,,5/25/2012,4524.94,,5/25/2012,1787.91,,5/25/2012,1749.27
6/1/2012,908.01,,6/1/2012,6271.31,,6/1/2012,975.74,,6/1/2012,220.04,,6/1/2012,4371.38,,6/1/2012,1750.67,,6/1/2012,1710.88
6/8/2012,941.6,,6/8/2012,6508.45,,6/8/2012,1011.21,,6/8/2012,228.52,,6/8/2012,4532.85,,6/8/2012,1803.1,,6/8/2012,1767.3
6/15/2012,953.13,,6/15/2012,6623.61,,6/15/2012,1020.78,,6/15/2012,228.45,,6/15/2012,4565.86,,6/15/2012,1828.38,,6/15/2012,1799.95
6/22/2012,952.8,,6/22/2012,6573.76,,6/22/2012,1013.24,,6/22/2012,228.85,,6/22/2012,4551.36,,6/22/2012,1821.72,,6/22/2012,1784.55
6/29/2012,961.8,,6/29/2012,6724.07,,6/29/2012,1029.16,,6/29/2012,235.76,,6/29/2012,4635.29,,6/29/2012,1851.63,,6/29/2012,1826.39
7/6/2012,966.22,,7/6/2012,6670.28,,7/6/2012,1026.58,,7/6/2012,237.6,,7/6/2012,4633.59,,7/6/2012,1855.34,,7/6/2012,1820.24
7/13/2012,965.87,,7/13/2012,6711.86,,7/13/2012,1020.78,,7/13/2012,235.9,,7/13/2012,4613.83,,7/13/2012,1873.06,,7/13/2012,1830.88
7/20/2012,964.41,,7/20/2012,6725.09,,7/20/2012,1033.38,,7/20/2012,234.5,,7/20/2012,4647.7,,7/20/2012,1872.15,,7/20/2012,1844.1
7/27/2012,980.31,,7/27/2012,6841.54,,7/27/2012,1047.51,,7/27/2012,236.18,,7/27/2012,4727.69,,7/27/2012,1896.27,,7/27/2012,1872.15
8/3/2012,981.49,,8/3/2012,6857.31,,8/3/2012,1049.3,,8/3/2012,234.77,,8/3/2012,4750.99,,8/3/2012,1887.17,,8/3/2012,1878.47
8/10/2012,980.5,,8/10/2012,6936.8,,8/10/2012,1061.73,,8/10/2012,239.55,,8/10/2012,4809.5,,8/10/2012,1884.67,,8/10/2012,1891.93
8/17/2012,995.11,,8/17/2012,6958.64,,8/17/2012,1077,,8/17/2012,244.04,,8/17/2012,4889.18,,8/17/2012,1890.23,,8/17/2012,1894.61
8/24/2012,989.3,,8/24/2012,6920.95,,8/24/2012,1071.14,,8/24/2012,241.68,,8/24/2012,4870.39,,8/24/2012,1887.41,,8/24/2012,1881.97
8/31/2012,988.02,,8/31/2012,6902.85,,8/31/2012,1069.48,,8/31/2012,242.41,,8/31/2012,4859.14,,8/31/2012,1885.8,,8/31/2012,1877.06
9/7/2012,999.62,,9/7/2012,7068.03,,9/7/2012,1090.8,,9/7/2012,250.94,,9/7/2012,4967.67,,9/7/2012,1908.15,,9/7/2012,1903.2
9/14/2012,1007.99,,9/14/2012,7211.18,,9/14/2012,1108.52,,9/14/2012,257.78,,9/14/2012,5063.21,,9/14/2012,1914.69,,9/14/2012,1922.62
9/21/2012,1016.3,,9/21/2012,7178.57,,9/21/2012,1106.39,,9/21/2012,253.91,,9/21/2012,5042.99,,9/21/2012,1923.08,,9/21/2012,1928.35
9/28/2012,1006.11,,9/28/2012,7107.46,,9/28/2012,1091.17,,9/28/2012,248.83,,9/28/2012,4963,,9/28/2012,1914.94,,9/28/2012,1915.07
10/5/2012,1024.06,,10/5/2012,7236.26,,10/5/2012,1101.66,,10/5/2012,251.12,,10/5/2012,5017.09,,10/5/2012,1942.14,,10/5/2012,1946.29
10/12/2012,999.56,,10/12/2012,7085.61,,10/12/2012,1075.61,,10/12/2012,245.61,,10/12/2012,4904.47,,10/12/2012,1900.74,,10/12/2012,1907.39
10/19/2012,991.88,,10/19/2012,7182.22,,10/19/2012,1065.73,,10/19/2012,246.82,,10/19/2012,4871.9,,10/19/2012,1909.04,,10/19/2012,1922.61
10/26/2012,979.14,,10/26/2012,7059.64,,10/26/2012,1050.32,,10/26/2012,243.93,,10/26/2012,4810.95,,10/26/2012,1890.34,,10/26/2012,1896.04
11/2/2012,986.97,,11/2/2012,7072.81,,11/2/2012,1057.01,,11/2/2012,245.81,,11/2/2012,4825.47,,11/2/2012,1892,,11/2/2012,1892.79
11/9/2012,968.39,,11/9/2012,6888.78,,11/9/2012,1035.07,,11/9/2012,241.03,,11/9/2012,4727.5,,11/9/2012,1854.75,,11/9/2012,1850.73
11/16/2012,961.3,,11/16/2012,6775.72,,11/16/2012,1022.42,,11/16/2012,236.2,,11/16/2012,4675.31,,11/16/2012,1842.05,,11/16/2012,1823.92
11/23/2012,998.08,,11/23/2012,6995.62,,11/23/2012,1059.15,,11/23/2012,245.44,,11/23/2012,4865.05,,11/23/2012,1890.81,,11/23/2012,1876.93
11/30/2012,1000,,11/30/2012,7021.99,,11/30/2012,1063.27,,11/30/2012,248.92,,11/30/2012,4906.96,,11/30/2012,1899.79,,11/30/2012,1885.66
