MXEF Index,
Date,PX_LAST
#NAME?,332.53
6/11/2004,419.24
6/18/2004,417.14
6/25/2004,431.17
7/2/2004,429.97
7/9/2004,429.25
7/16/2004,428.58
7/23/2004,421.41
7/30/2004,423.14
8/6/2004,421.28
8/13/2004,421.79
8/20/2004,432.2
8/27/2004,438.12
9/3/2004,442.46
9/10/2004,450.56
9/17/2004,460.68
9/24/2004,461.29
10/1/2004,470.55
10/8/2004,481.7
10/15/2004,466.45
10/22/2004,468.15
10/29/2004,474.27
11/5/2004,490.35
11/12/2004,497.78
11/19/2004,505.8
11/26/2004,511.7
12/3/2004,520.82
12/10/2004,503.92
12/17/2004,520.91
12/24/2004,531.6
12/31/2004,542.17
1/7/2005,518.96
1/14/2005,528.16
1/21/2005,525.49
1/28/2005,535.71
2/4/2005,549.46
2/11/2005,553.84
2/18/2005,566.62
2/25/2005,581.73
3/4/2005,585.26
3/11/2005,585.03
3/18/2005,564.03
3/25/2005,548.44
4/1/2005,555.86
4/8/2005,555.44
4/15/2005,535.99
4/22/2005,537.62
4/29/2005,531.99
5/6/2005,550.78
5/13/2005,537.3
5/20/2005,544.38
5/27/2005,550.5
6/3/2005,555.79
6/10/2005,556.16
6/17/2005,569.96
6/24/2005,567.25
7/1/2005,568.16
7/8/2005,564.09
7/15/2005,582.83
7/22/2005,596.12
7/29/2005,602.56
8/5/2005,615.71
8/12/2005,621.3
8/19/2005,604.18
8/26/2005,604.76
9/2/2005,624
9/9/2005,633.59
9/16/2005,640.21
9/23/2005,640.73
9/30/2005,661.32
10/7/2005,637.9
10/14/2005,618.36
10/21/2005,607.83
10/28/2005,605.69
11/4/2005,637.38
11/11/2005,646.64
11/18/2005,657.74
11/25/2005,667.16
12/2/2005,679.1
12/9/2005,683.73
12/16/2005,689.64
12/23/2005,703.32
12/30/2005,706.48
1/6/2006,744.63
1/13/2006,756.75
1/20/2006,754.22
1/27/2006,779.37
2/3/2006,767.59
2/10/2006,771.21
2/17/2006,778.56
2/24/2006,786.06
3/3/2006,784.85
3/10/2006,752.45
3/17/2006,782.39
3/24/2006,774.14
3/31/2006,787.8
4/7/2006,814.06
4/14/2006,809.06
4/21/2006,843.6
4/28/2006,841.58
5/5/2006,870.38
5/12/2006,856.95
5/19/2006,786.47
